x_ref,y_ref,yaw_ref
-18.693467,8.693467,-0.785398
-18.643216,8.643216,-0.785398
-18.592965,8.592965,-0.785398
-18.542714,8.542714,-0.785398
-18.492462,8.492462,-0.785398
-18.442211,8.442211,-0.785398
-18.391960,8.391960,-0.785398
-18.341709,8.341709,-0.785398
-18.291457,8.291457,-0.785398
-18.241206,8.241206,-0.785398
-18.190955,8.190955,-0.785398
-18.140704,8.140704,-0.785398
-18.090452,8.090452,-0.785398
-18.040201,8.040201,-0.785398
-17.989950,7.989950,-0.785398
-17.939698,7.939698,-0.785398
-17.889447,7.889447,-0.785398
-17.839196,7.839196,-0.785398
-17.788945,7.788945,-0.785398
-17.738693,7.738693,-0.785398
-17.688442,7.688442,-0.785398
-17.638191,7.638191,-0.785398
-17.587940,7.587940,-0.785398
-17.537688,7.537688,-0.785398
-17.487437,7.487437,-0.785398
-17.437186,7.437186,-0.785398
-17.386935,7.386935,-0.785398
-17.336683,7.336683,-0.785398
-17.286432,7.286432,-0.785398
-17.236181,7.236181,-0.785398
-17.185930,7.185930,-0.785398
-17.135678,7.135678,-0.785398
-17.085427,7.085427,-0.785398
-17.035176,7.035176,-0.785398
-16.984925,6.984925,-0.785398
-16.934673,6.934673,-0.785398
-16.884422,6.884422,-0.785398
-16.834171,6.834171,-0.785398
-16.783920,6.783920,-0.785398
-16.733668,6.733668,-0.785398
-16.683417,6.683417,-0.785398
-16.633166,6.633166,-0.785398
-16.582915,6.582915,-0.785398
-16.532663,6.532663,-0.785398
-16.482412,6.482412,-0.785398
-16.432161,6.432161,-0.785398
-16.381910,6.381910,-0.785398
-16.331658,6.331658,-0.785398
-16.281407,6.281407,-0.785398
-16.231156,6.231156,-0.785398
-16.180905,6.180905,-0.785398
-16.130653,6.130653,-0.785398
-16.080402,6.080402,-0.785398
-16.030151,6.030151,-0.785398
-15.979899,5.979899,-0.785398
-15.929648,5.929648,-0.785398
-15.879397,5.879397,-0.785398
-15.829146,5.829146,-0.785398
-15.778894,5.778894,-0.785398
-15.728643,5.728643,-0.785398
-15.678392,5.678392,-0.785398
