x_ref,y_ref,yaw_ref
-7.299124,-8.000000,0.000000
-7.289111,-8.000000,0.000000
-7.279099,-8.000000,0.000000
-7.269086,-8.000000,0.000000
-7.259074,-8.000000,0.000000
-7.249061,-8.000000,0.000000
-7.239049,-8.000000,0.000000
-7.229036,-8.000000,0.000000
-7.219024,-8.000000,0.000000
-7.209011,-8.000000,0.000000
-7.198999,-8.000000,0.000000
-7.188986,-8.000000,0.000000
-7.178974,-8.000000,0.000000
-7.168961,-8.000000,0.000000
-7.158949,-8.000000,0.000000
-7.148936,-8.000000,0.000000
-7.138924,-8.000000,0.000000
-7.128911,-8.000000,0.000000
-7.118899,-8.000000,0.000000
-7.108886,-8.000000,0.000000
-7.098874,-8.000000,0.000000
-7.088861,-8.000000,0.000000
-7.078849,-8.000000,0.000000
-7.068836,-8.000000,0.000000
-7.058824,-8.000000,0.000000
-7.048811,-8.000000,0.000000
-7.038798,-8.000000,0.000000
-7.028786,-8.000000,0.000000
-7.018773,-8.000000,0.000000
-7.008761,-8.000000,0.000000
-6.998748,-8.000000,0.000000
-6.988736,-8.000000,0.000000
-6.978723,-8.000000,0.000000
-6.968711,-8.000000,0.000000
-6.958698,-8.000000,0.000000
-6.948686,-8.000000,0.000000
-6.938673,-8.000000,0.000000
-6.928661,-8.000000,0.000000
-6.918648,-8.000000,0.000000
-6.908636,-8.000000,0.000000
-6.898623,-8.000000,0.000000
-6.888611,-8.000000,0.000000
-6.878598,-8.000000,0.000000
-6.868586,-8.000000,0.000000
-6.858573,-8.000000,0.000000
-6.848561,-8.000000,0.000000
-6.838548,-8.000000,0.000000
-6.828536,-8.000000,0.000000
-6.818523,-8.000000,0.000000
-6.808511,-8.000000,0.000000
-6.798498,-8.000000,0.000000
-6.788486,-8.000000,0.000000
-6.778473,-8.000000,0.000000
-6.768461,-8.000000,0.000000
-6.758448,-8.000000,0.000000
-6.748436,-8.000000,0.000000
-6.738423,-8.000000,0.000000
-6.728411,-8.000000,0.000000
-6.718398,-8.000000,0.000000
-6.708385,-8.000000,0.000000
-6.698373,-8.000000,0.000000
-6.688360,-8.000000,0.000000
-6.678348,-8.000000,0.000000
-6.668335,-8.000000,0.000000
-6.658323,-8.000000,0.000000
-6.648310,-8.000000,0.000000
-6.638298,-8.000000,0.000000
-6.628285,-8.000000,0.000000
-6.618273,-8.000000,0.000000
-6.608260,-8.000000,0.000000
-6.598248,-8.000000,0.000000
-6.588235,-8.000000,0.000000
-6.578223,-8.000000,0.000000
-6.568210,-8.000000,0.000000
-6.558198,-8.000000,0.000000
-6.548185,-8.000000,0.000000
-6.538173,-8.000000,0.000000
-6.528160,-8.000000,0.000000
-6.518148,-8.000000,0.000000
-6.508135,-8.000000,0.000000
-6.498123,-8.000000,0.000000
-6.488110,-8.000000,0.000000
-6.478098,-8.000000,0.000000
-6.468085,-8.000000,0.000000
-6.458073,-8.000000,0.000000
-6.448060,-8.000000,0.000000
-6.438048,-8.000000,0.000000
-6.428035,-8.000000,0.000000
-6.418023,-8.000000,0.000000
-6.408010,-8.000000,0.000000
-6.397997,-8.000000,0.000000
-6.387985,-8.000000,0.000000
-6.377972,-8.000000,0.000000
-6.367960,-8.000000,0.000000
-6.357947,-8.000000,0.000000
-6.347935,-8.000000,0.000000
-6.337922,-8.000000,0.000000
-6.327910,-8.000000,0.000000
-6.317897,-8.000000,0.000000
-6.307885,-8.000000,0.000000
-6.297872,-8.000000,0.000000
-6.287860,-8.000000,0.000000
-6.277847,-8.000000,0.000000
-6.267835,-8.000000,0.000000
-6.257822,-8.000000,0.000000
-6.247810,-8.000000,0.000000
-6.237797,-8.000000,0.000000
-6.227785,-8.000000,0.000000
-6.217772,-8.000000,0.000000
-6.207760,-8.000000,0.000000
-6.197747,-8.000000,0.000000
-6.187735,-8.000000,0.000000
-6.177722,-8.000000,0.000000
-6.167710,-8.000000,0.000000
-6.157697,-8.000000,0.000000
-6.147685,-8.000000,0.000000
-6.137672,-8.000000,0.000000
-6.127660,-8.000000,0.000000
-6.117647,-8.000000,0.000000
-6.107635,-8.000000,0.000000
-6.097622,-8.000000,0.000000
-6.087610,-8.000000,0.000000
-6.077597,-8.000000,0.000000
-6.067584,-8.000000,0.000000
-6.057572,-8.000000,0.000000
-6.047559,-8.000000,0.000000
-6.037547,-8.000000,0.000000
-6.027534,-8.000000,0.000000
-6.017522,-8.000000,0.000000
-6.007509,-8.000000,0.000000
-5.997497,-8.000000,0.000000
-5.987484,-8.000000,0.000000
-5.977472,-8.000000,0.000000
-5.967459,-8.000000,0.000000
-5.957447,-8.000000,0.000000
-5.947434,-8.000000,0.000000
-5.937422,-8.000000,0.000000
-5.927409,-8.000000,0.000000
-5.917397,-8.000000,0.000000
-5.907384,-8.000000,0.000000
-5.897372,-8.000000,0.000000
-5.887359,-8.000000,0.000000
-5.877347,-8.000000,0.000000
-5.867334,-8.000000,0.000000
-5.857322,-8.000000,0.000000
-5.847309,-8.000000,0.000000
-5.837297,-8.000000,0.000000
-5.827284,-8.000000,0.000000
-5.817272,-8.000000,0.000000
-5.807259,-8.000000,0.000000
-5.797247,-8.000000,0.000000
-5.787234,-8.000000,0.000000
-5.777222,-8.000000,0.000000
-5.767209,-8.000000,0.000000
-5.757196,-8.000000,0.000000
-5.747184,-8.000000,0.000000
-5.737171,-8.000000,0.000000
-5.727159,-8.000000,0.000000
-5.717146,-8.000000,0.000000
-5.707134,-8.000000,0.000000
-5.697121,-8.000000,0.000000
-5.687109,-8.000000,0.000000
-5.677096,-8.000000,0.000000
-5.667084,-8.000000,0.000000
-5.657071,-8.000000,0.000000
-5.647059,-8.000000,0.000000
-5.637046,-8.000000,0.000000
-5.627034,-8.000000,0.000000
-5.617021,-8.000000,0.000000
-5.607009,-8.000000,0.000000
-5.596996,-8.000000,0.000000
-5.586984,-8.000000,0.000000
-5.576971,-8.000000,0.000000
-5.566959,-8.000000,0.000000
-5.556946,-8.000000,0.000000
-5.546934,-8.000000,0.000000
-5.536921,-8.000000,0.000000
-5.526909,-8.000000,0.000000
-5.516896,-8.000000,0.000000
-5.506884,-8.000000,0.000000
-5.496871,-8.000000,0.000000
-5.486859,-8.000000,0.000000
-5.476846,-8.000000,0.000000
-5.466834,-8.000000,0.000000
-5.456821,-8.000000,0.000000
-5.446809,-8.000000,0.000000
-5.436796,-8.000000,0.000000
-5.426783,-8.000000,0.000000
-5.416771,-8.000000,0.000000
-5.406758,-8.000000,0.000000
-5.396746,-8.000000,0.000000
-5.386733,-8.000000,0.000000
-5.376721,-8.000000,0.000000
-5.366708,-8.000000,0.000000
-5.356696,-8.000000,0.000000
-5.346683,-8.000000,0.000000
-5.336671,-8.000000,0.000000
-5.326658,-8.000000,0.000000
-5.316646,-8.000000,0.000000
-5.306633,-8.000000,0.000000
-5.296621,-8.000000,0.000000
-5.286608,-8.000000,0.000000
-5.276596,-8.000000,0.000000
-5.266583,-8.000000,0.000000
-5.256571,-8.000000,0.000000
-5.246558,-8.000000,0.000000
-5.236546,-8.000000,0.000000
-5.226533,-8.000000,0.000000
-5.216521,-8.000000,0.000000
-5.206508,-8.000000,0.000000
-5.196496,-8.000000,0.000000
-5.186483,-8.000000,0.000000
-5.176471,-8.000000,0.000000
-5.166458,-8.000000,0.000000
-5.156446,-8.000000,0.000000
-5.146433,-8.000000,0.000000
-5.136421,-8.000000,0.000000
-5.126408,-8.000000,0.000000
-5.116395,-8.000000,0.000000
-5.106383,-8.000000,0.000000
-5.096370,-8.000000,0.000000
-5.086358,-8.000000,0.000000
-5.076345,-8.000000,0.000000
-5.066333,-8.000000,0.000000
