[x_ref,y_ref,yaw_ref]
8.75154,5.19619,-1.44403
8.75472,5.17121,-1.44403
8.75791,5.14622,-1.44403
8.76109,5.12123,-1.44403
8.76428,5.09624,-1.44403
8.76746,5.07126,-1.44403
8.77065,5.04627,-1.44403
8.77383,5.02128,-1.44403
8.77702,4.99629,-1.44403
8.7802,4.97131,-1.44403
8.78339,4.94632,-1.44403
8.78657,4.92133,-1.44403
8.78976,4.89634,-1.44403
8.79294,4.87136,-1.44403
8.79612,4.84637,-1.44403
8.79931,4.82138,-1.44403
8.80249,4.79639,-1.44403
8.80568,4.7714,-1.44403
8.80886,4.74642,-1.44403
8.81205,4.72143,-1.44403
8.81523,4.69644,-1.44403
8.81842,4.67145,-1.44403
8.8216,4.64647,-1.44403
8.82479,4.62148,-1.44403
8.82797,4.59649,-1.44403
8.83116,4.5715,-1.44403
8.83434,4.54652,-1.44403
8.83753,4.52153,-1.44403
8.84071,4.49654,-1.44403
8.8439,4.47155,-1.44403
8.84708,4.44657,-1.44403
8.85026,4.42158,-1.44403
8.85345,4.39659,-1.44403
8.85663,4.3716,-1.44403
8.85982,4.34662,-1.44403
8.863,4.32163,0
8.863,4.32163,-0.384605
8.88358,4.3133,-0.384605
8.90416,4.30497,-0.384605
8.92474,4.29664,-0.384605
8.94532,4.28831,-0.384605
8.96589,4.27998,-0.384605
8.98647,4.27165,-0.384605
9.00705,4.26332,-0.384605
9.02763,4.25499,-0.384605
9.04821,4.24667,-0.384605
9.06878,4.23834,-0.384605
9.08936,4.23001,-0.384605
9.10994,4.22168,-0.384605
9.13052,4.21335,-0.384605
9.1511,4.20502,-0.384605
9.17167,4.19669,-0.384605
9.19225,4.18836,-0.384605
9.21283,4.18003,-0.384605
9.23341,4.1717,-0.384605
9.25399,4.16337,-0.384605
9.27456,4.15504,-0.384605
9.29514,4.14671,-0.384605
9.31572,4.13839,-0.384605
9.3363,4.13006,-0.384605
9.35688,4.12173,-0.384605
9.37745,4.1134,-0.384605
9.39803,4.10507,-0.384605
9.41861,4.09674,-0.384605
9.43919,4.08841,-0.384605
9.45977,4.08008,-0.384605
9.48034,4.07175,-0.384605
9.50092,4.06342,-0.384605
9.5215,4.05509,-0.384605
9.54208,4.04676,-0.384605
9.56266,4.03844,-0.384605
9.58323,4.03011,-0.384605
9.60381,4.02178,-0.384605
9.62439,4.01345,-0.384605
9.64497,4.00512,-0.384605
9.66555,3.99679,-0.384605
9.68612,3.98846,-0.384605
9.7067,3.98013,-0.384605
9.72728,3.9718,-0.384605
9.74786,3.96347,-0.384605
9.76844,3.95514,-0.384605
9.78901,3.94681,-0.384605
9.80959,3.93848,-0.384605
9.83017,3.93016,-0.384605
9.85075,3.92183,-0.384605
9.87133,3.9135,-0.384605
9.8919,3.90517,-0.384605
9.91248,3.89684,-0.384605
9.93306,3.88851,-0.384605
9.95364,3.88018,-0.384605
9.97422,3.87185,-0.384605
9.99479,3.86352,-0.384605
10.0154,3.85519,-0.384605
10.036,3.84686,-0.384605
10.0565,3.83853,-0.384605
10.0771,3.83021,-0.384605
10.0977,3.82188,-0.384605
10.1183,3.81355,-0.384605
10.1388,3.80522,-0.384605
10.1594,3.79689,-0.384605
10.18,3.78856,-0.384605
10.2006,3.78023,-0.384605
10.2212,3.7719,-0.384605
10.2417,3.76357,-0.384605
10.2623,3.75524,-0.384605
10.2829,3.74691,-0.384605
10.3035,3.73858,-0.384605
10.324,3.73025,-0.384605
10.3446,3.72193,-0.384605
10.3652,3.7136,-0.384605
10.3858,3.70527,-0.384605
10.4064,3.69694,-0.384605
10.4269,3.68861,-0.384605
10.4475,3.68028,-0.384605
10.4681,3.67195,-0.384605
10.4887,3.66362,-0.384605
10.5092,3.65529,-0.384605
10.5298,3.64696,-0.384605
10.5504,3.63863,-0.384605
10.571,3.6303,-0.384605
10.5916,3.62198,-0.384605
10.6121,3.61365,-0.384605
10.6327,3.60532,-0.384605
10.6533,3.59699,-0.384605
10.6739,3.58866,-0.384605
10.6944,3.58033,-0.384605
10.715,3.572,-0.384605
10.7356,3.56367,-0.384605
10.7562,3.55534,-0.384605
10.7768,3.54701,-0.384605
10.7973,3.53868,-0.384605
10.8179,3.53035,-0.384605
10.8385,3.52202,-0.384605
10.8591,3.5137,-0.384605
10.8796,3.50537,-0.384605
10.9002,3.49704,-0.384605
10.9208,3.48871,-0.384605
10.9414,3.48038,-0.384605
10.962,3.47205,-0.384605
10.9825,3.46372,-0.384605
11.0031,3.45539,-0.384605
11.0237,3.44706,-0.384605
11.0443,3.43873,-0.384605
11.0649,3.4304,-0.384605
11.0854,3.42207,-0.384605
11.106,3.41375,-0.384605
11.1266,3.40542,-0.384605
